departamento,codigodanedepartamento,municipio,codigodanemunicipio,tipoarea,sitio,ano,mes,rangoedad,grupoetnico,condicion,estado,genero,latitudcabecera,longitudcabecera,tipoevento,Ubicación,Actividad
ANTIOQUIA,5,GRANADA,"5,313",Rural,Sin Información,"2,006",1,Menor de 18 años,no,Civil,Herido,Masculino,6.143703,-75.185183,Accidente por MAP,"(6.143703, -75.185183)","Pasando, estando cerca"
CAQUETA,18,MONTAÑITA,"18,410",Rural,Sin Información,"2,009",12,Mayor de 18 años,no,Civil,Herido,Masculino,1.49494421255,-75.4630895064,Accidente por MAP,"(1.49494421255, -75.4630895064)",Erradicador manual - PCI
PUTUMAYO,86,PUERTO ASÍS,"86,568",Rural,Sin Información,"2,008",4,Mayor de 18 años,no,Civil,Muerto,Masculino,0.502569,-76.49818,Accidente por MAP,"(0.502569, -76.49818)",Erradicador manual - PCI
CORDOBA,23,PUERTO LIBERTADOR,"23,580",Rural,Sin Información,"2,009",11,Mayor de 18 años,no,Civil,Herido,Masculino,7.883545,-75.670508,Accidente por MAP,"(7.883545, -75.670508)",Erradicador manual - PCI
CORDOBA,23,PUERTO LIBERTADOR,"23,580",Rural,Sin Información,"2,009",11,Mayor de 18 años,no,Civil,Herido,Masculino,7.883545,-75.670508,Accidente por MAP,"(7.883545, -75.670508)",Erradicador manual - PCI
CORDOBA,23,PUERTO LIBERTADOR,"23,580",Rural,Sin Información,"2,009",11,Mayor de 18 años,no,Civil,Herido,Masculino,7.883545,-75.670508,Accidente por MAP,"(7.883545, -75.670508)",Erradicador manual - PCI
CORDOBA,23,PUERTO LIBERTADOR,"23,580",Rural,Sin Información,"2,009",11,Mayor de 18 años,no,Civil,Herido,Masculino,7.883545,-75.670508,Accidente por MAP,"(7.883545, -75.670508)",Erradicador manual - PCI
NARIÑO,52,BARBACOAS,"52,079",Rural,Vereda Santa Lucia,"2,010",1,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,1.5875,-78.2275,Accidente por MAP,"(1.5875, -78.2275)",Fuerza pública
ANTIOQUIA,5,TARAZÁ,"5,790",Rural,Quebrada Iraca,"2,010",1,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,7.372777777777777,-75.20444444444445,Accidente por MAP,"(7.372777777777777, -75.20444444444445)",Fuerza pública
ANTIOQUIA,5,VALDIVIA,"5,854",Rural,Sin Información,"2,008",3,Mayor de 18 años,no,Civil,Herido,Masculino,7.165222,-75.438081,Accidente por MAP,"(7.165222, -75.438081)",Erradicador manual - PCI
CAUCA,19,TORIBÍO,"19,821",Rural,Vereda Vichiqui,"2,009",8,Menor de 18 años,Indigena,Civil,Muerto,Femenino,2.955399,-76.268615,Accidente por MAP,"(2.955399, -76.268615)",Sin Información
ANTIOQUIA,5,VALDIVIA,"5,854",Rural,Sin Información,"2,008",3,Mayor de 18 años,no,Civil,Herido,Masculino,7.165222,-75.438081,Accidente por MAP,"(7.165222, -75.438081)",Erradicador manual - PCI
CAUCA,19,TORIBÍO,"19,821",Rural,Vereda Vichiqui,"2,009",8,Menor de 18 años,Indigena,Civil,Herido,Masculino,2.955399,-76.268615,Accidente por MAP,"(2.955399, -76.268615)",Sin Información
NARIÑO,52,SANTA CRUZ,"52,699",Rural,Sin Información,"2,009",7,Mayor de 18 años,no,Civil,Herido,Femenino,1.225,-77.68,Accidente por MAP,"(1.225, -77.68)",Sin Información
ANTIOQUIA,5,VALDIVIA,"5,854",Urbana,Sin Información,"2,009",4,Mayor de 18 años,no,Civil,Herido,Masculino,7.274352,-75.382426,Accidente por MAP,"(7.274352, -75.382426)",Erradicador manual - PCI
ANTIOQUIA,5,VALDIVIA,"5,854",Rural,Sin Información,"2,008",3,Mayor de 18 años,no,Civil,Herido,Masculino,7.165222,-75.438081,Accidente por MAP,"(7.165222, -75.438081)",Erradicador manual - PCI
NARIÑO,52,RICAURTE,"52,612",Rural,Sin Información,"2,009",12,Mayor de 18 años,Indigena,Civil,Muerto,Femenino,1.212529,-77.995412,Accidente por MAP,"(1.212529, -77.995412)",Transito por via usual
GUAVIARE,95,SAN JOSÉ DEL GUAVIARE,"95,001",Rural,Tomachipan,"2,009",10,Mayor de 18 años,no,Civil,Herido,Masculino,2.255,-71.7891666666667,Accidente por MAP,"(2.255, -71.7891666666667)",Erradicador manual - PCI
GUAVIARE,95,SAN JOSÉ DEL GUAVIARE,"95,001",Rural,Tomachipan,"2,009",10,Mayor de 18 años,no,Civil,Herido,Masculino,2.255,-71.7891666666667,Accidente por MAP,"(2.255, -71.7891666666667)",Erradicador manual - PCI
META,50,SAN JUAN DE ARAMA,"50,683",Rural,Sin Información,"2,009",12,Mayor de 18 años,no,Civil,Herido,Masculino,3.380464,-73.878772,Accidente por MAP,"(3.380464, -73.878772)",Cuidado de animales
NORTE DE SANTANDER,54,TIBÚ,"54,810",Rural,Sin Información,"2,009",9,Mayor de 18 años,no,Civil,Herido,Masculino,8.639326,-72.735541,Accidente por MAP,"(8.639326, -72.735541)",Erradicador manual - PCI
NORTE DE SANTANDER,54,TIBÚ,"54,810",Rural,Sin Información,"2,009",9,Mayor de 18 años,no,Civil,Herido,Masculino,8.639326,-72.735541,Accidente por MAP,"(8.639326, -72.735541)",Erradicador manual - PCI
NORTE DE SANTANDER,54,TIBÚ,"54,810",Rural,Sin Información,"2,009",9,Mayor de 18 años,no,Civil,Herido,Masculino,8.639326,-72.735541,Accidente por MAP,"(8.639326, -72.735541)",Erradicador manual - PCI
NORTE DE SANTANDER,54,TIBÚ,"54,810",Rural,Sin Información,"2,009",9,Mayor de 18 años,no,Civil,Herido,Masculino,8.639326,-72.735541,Accidente por MAP,"(8.639326, -72.735541)",Erradicador manual - PCI
NORTE DE SANTANDER,54,TIBÚ,"54,810",Rural,Sin Información,"2,009",9,Mayor de 18 años,no,Civil,Muerto,Masculino,8.639326,-72.735541,Accidente por MAP,"(8.639326, -72.735541)",Erradicador manual - PCI
NORTE DE SANTANDER,54,TIBÚ,"54,810",Rural,Sin Información,"2,009",9,Mayor de 18 años,no,Civil,Herido,Masculino,8.639326,-72.735541,Accidente por MAP,"(8.639326, -72.735541)",Erradicador manual - PCI
NORTE DE SANTANDER,54,TIBÚ,"54,810",Rural,Sin Información,"2,009",9,Mayor de 18 años,no,Civil,Muerto,Masculino,8.639326,-72.735541,Accidente por MAP,"(8.639326, -72.735541)",Erradicador manual - PCI
NORTE DE SANTANDER,54,TIBÚ,"54,810",Rural,Sin Información,"2,009",9,Mayor de 18 años,no,Civil,Herido,Masculino,8.639326,-72.735541,Accidente por MAP,"(8.639326, -72.735541)",Erradicador manual - PCI
BOLIVAR,13,SAN PABLO,"13,670",Rural,Sin Información,"2,009",8,Mayor de 18 años,no,Civil,Herido,Masculino,7.483919,-73.933361,Accidente por MAP,"(7.483919, -73.933361)",Erradicador manual - PCI
BOLIVAR,13,SAN PABLO,"13,670",Rural,Sin Información,"2,009",8,Mayor de 18 años,no,Civil,Herido,Masculino,7.483919,-73.933361,Accidente por MAP,"(7.483919, -73.933361)",Erradicador manual - PCI
CAQUETA,18,MONTAÑITA,"18,410",Rural,Sin Información,"2,009",10,Mayor de 18 años,no,Civil,Herido,Masculino,1.49494421255,-75.4630895064,Accidente por MAP,"(1.49494421255, -75.4630895064)",Erradicador manual - PCI
PUTUMAYO,86,SAN MIGUEL,"86,757",Rural,Sin Información,"2,008",9,Mayor de 18 años,no,Civil,Herido,Masculino,0.343179,-76.911852,Accidente por MAP,"(0.343179, -76.911852)",Erradicador manual - PCI
ANTIOQUIA,5,TARAZÁ,"5,790",Rural,Sin Información,"2,009",7,Mayor de 18 años,no,Civil,Herido,Masculino,7.58831222222222,-75.4028944444444,Accidente por MAP,"(7.58831222222222, -75.4028944444444)",Erradicador manual - PCI
ANTIOQUIA,5,TARAZÁ,"5,790",Rural,Sin Información,"2,009",7,Mayor de 18 años,no,Civil,Herido,Masculino,7.58831222222222,-75.4028944444444,Accidente por MAP,"(7.58831222222222, -75.4028944444444)",Erradicador manual - PCI
ANTIOQUIA,5,TARAZÁ,"5,790",Rural,Sin Información,"2,009",7,Mayor de 18 años,no,Civil,Herido,Masculino,7.58831222222222,-75.4028944444444,Accidente por MAP,"(7.58831222222222, -75.4028944444444)",Erradicador manual - PCI
ANTIOQUIA,5,TARAZÁ,"5,790",Rural,Sin Información,"2,009",7,Mayor de 18 años,no,Civil,Herido,Masculino,7.58831222222222,-75.4028944444444,Accidente por MAP,"(7.58831222222222, -75.4028944444444)",Erradicador manual - PCI
ANTIOQUIA,5,TARAZÁ,"5,790",Rural,Sin Información,"2,009",7,Mayor de 18 años,no,Civil,Herido,Masculino,7.58831222222222,-75.4028944444444,Accidente por MAP,"(7.58831222222222, -75.4028944444444)",Erradicador manual - PCI
ANTIOQUIA,5,TARAZÁ,"5,790",Rural,Sin Información,"2,009",7,Mayor de 18 años,no,Civil,Herido,Masculino,7.58831222222222,-75.4028944444444,Accidente por MAP,"(7.58831222222222, -75.4028944444444)",Erradicador manual - PCI
CAUCA,19,SUÁREZ,"19,780",Rural,Vereda La Esperanza,"2,010",1,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,3.0572222222222223,-76.7761111111111,Accidente por MAP,"(3.0572222222222223, -76.7761111111111)",Fuerza pública
CAUCA,19,SUÁREZ,"19,780",Rural,Vereda La Esperanza,"2,010",1,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,3.0572222222222223,-76.7761111111111,Accidente por MAP,"(3.0572222222222223, -76.7761111111111)",Fuerza pública
BOLIVAR,13,EL CARMEN DE BOLÍVAR,"13,244",Rural,Sin Información,"2,010",1,Menor de 18 años,no,Civil,Herido,Masculino,9.685015,-75.122094,Accidente por MAP,"(9.685015, -75.122094)",Trabajos de casa
CAUCA,19,SUÁREZ,"19,780",Rural,Vereda La Esperanza,"2,010",1,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,3.0572222222222223,-76.7761111111111,Accidente por MAP,"(3.0572222222222223, -76.7761111111111)",Fuerza pública
META,50,MAPIRIPÁN,"50,325",Rural,El Matire,"2,010",1,Mayor de 18 años,no,Fuerza pública,Muerto,Masculino,2.904166666666667,-71.46,Accidente por MAP,"(2.904166666666667, -71.46)",Fuerza pública
HUILA,41,ALGECIRAS,"41,020",Rural,Vereda Termopilas,"2,010",1,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,2.604722222222222,-75.13416666666667,Accidente por MAP,"(2.604722222222222, -75.13416666666667)",Fuerza pública
HUILA,41,ALGECIRAS,"41,020",Rural,Vereda Termopilas,"2,010",1,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,2.604722222222222,-75.13416666666667,Accidente por MAP,"(2.604722222222222, -75.13416666666667)",Fuerza pública
ANTIOQUIA,5,ITUANGO,"5,361",Rural,Vereda Los Monos,"2,010",1,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,7.338888888888889,-75.80277777777778,Accidente por MAP,"(7.338888888888889, -75.80277777777778)",Fuerza pública
VALLE DEL CAUCA,76,FLORIDA,"76,275",Rural,Sin Información,"2,009",9,Mayor de 18 años,Indigena,Civil,Muerto,Masculino,3.326974,-76.243463,Accidente por MAP,"(3.326974, -76.243463)",Transito por trocha atajo
HUILA,41,BARAYA,"41,078",Rural,Vereda Versalles,"2,010",1,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,3.0280555555555555,-74.90527777777778,Accidente por MAP,"(3.0280555555555555, -74.90527777777778)",Fuerza pública
CORDOBA,23,TIERRALTA,"23,807",Rural,Bocas De Pánico,"2,010",1,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,7.78,-76.34083333333334,Accidente por MAP,"(7.78, -76.34083333333334)",Fuerza pública
BOLIVAR,13,EL CARMEN DE BOLÍVAR,"13,244",Rural,Sin Información,"2,010",1,Menor de 18 años,no,Civil,Herido,Masculino,9.685015,-75.122094,Accidente por MAP,"(9.685015, -75.122094)",Trabajos de casa
BOLIVAR,13,TALAIGUA NUEVO,"13,780",Rural,Corregimiento El Porvenir,"1,993",9,Mayor de 18 años,no,Civil,Herido,Masculino,9.385132,-74.663392,Accidente por MAP,"(9.385132, -74.663392)",Sin Información
VAUPES,97,CARURÚ,"97,161",Rural,Arara,"2,010",1,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,1.1241666666666668,-71.56416666666667,Accidente por MAP,"(1.1241666666666668, -71.56416666666667)",Fuerza pública
NORTE DE SANTANDER,54,TEORAMA,"54,800",Rural,Vereda La Valvula,"2,010",1,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,8.61888888888889,-73.17305555555555,Accidente por MAP,"(8.61888888888889, -73.17305555555555)",Fuerza pública
NORTE DE SANTANDER,54,TEORAMA,"54,800",Rural,Vereda La Valvula,"2,010",1,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,8.61888888888889,-73.17305555555555,Accidente por MAP,"(8.61888888888889, -73.17305555555555)",Fuerza pública
NORTE DE SANTANDER,54,TEORAMA,"54,800",Rural,Vereda La Valvula,"2,010",1,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,8.61888888888889,-73.17305555555555,Accidente por MAP,"(8.61888888888889, -73.17305555555555)",Fuerza pública
NORTE DE SANTANDER,54,HACARÍ,"54,344",Rural,Vereda El Cobre,"2,010",2,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,8.329444444444444,-73.03888888888889,Accidente por MAP,"(8.329444444444444, -73.03888888888889)",Fuerza pública
ANTIOQUIA,5,CÁCERES,"5,120",Rural,Cerro Blanco,"2,010",2,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,7.390833333333333,-75.14972222222222,Accidente por MAP,"(7.390833333333333, -75.14972222222222)",Fuerza pública
HUILA,41,ALGECIRAS,"41,020",Urbana,Sin Información,"2,008",12,Mayor de 18 años,no,Civil,Herido,Femenino,2.522444,-75.313361,Accidente por MAP,"(2.522444, -75.313361)",Área Despejada
HUILA,41,BARAYA,"41,078",Rural,La Libertad,"2,010",2,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,3.117777777777778,-74.84416666666667,Accidente por MAP,"(3.117777777777778, -74.84416666666667)",Fuerza pública
CORDOBA,23,TIERRALTA,"23,807",Rural,El Chispas,"2,010",2,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,7.907777777777778,-76.17194444444445,Accidente por MAP,"(7.907777777777778, -76.17194444444445)",Fuerza pública
NORTE DE SANTANDER,54,TIBÚ,"54,810",Rural,Sin Información,"2,009",9,Mayor de 18 años,no,Civil,Muerto,Masculino,8.639326,-72.735541,Accidente por MAP,"(8.639326, -72.735541)",Erradicador manual - PCI
NORTE DE SANTANDER,54,TIBÚ,"54,810",Rural,Sin Información,"2,009",9,Mayor de 18 años,no,Civil,Herido,Masculino,8.639326,-72.735541,Accidente por MAP,"(8.639326, -72.735541)",Erradicador manual - PCI
ARAUCA,81,PUERTO RONDÓN,"81,591",Rural,Vereda Las Villas,"2,010",2,Mayor de 18 años,no,Fuerza pública,Muerto,Masculino,6.509722222222222,-71.14166666666667,Accidente por MAP,"(6.509722222222222, -71.14166666666667)",Fuerza pública
NARIÑO,52,SAMANIEGO,"52,678",Rural,Vereda San Diego,"2,010",2,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,1.5519444444444446,-77.76916666666666,Accidente por MAP,"(1.5519444444444446, -77.76916666666666)",Fuerza pública
CAQUETA,18,MONTAÑITA,"18,410",Rural,Arenoso Bajo,"2,010",2,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,1.0422222222222222,-75.02055555555556,Accidente por MAP,"(1.0422222222222222, -75.02055555555556)",Fuerza pública
NORTE DE SANTANDER,54,TIBÚ,"54,810",Rural,Sin Información,"2,009",9,Mayor de 18 años,no,Civil,Herido,Masculino,8.639326,-72.735541,Accidente por MAP,"(8.639326, -72.735541)",Erradicador manual - PCI
NORTE DE SANTANDER,54,TIBÚ,"54,810",Rural,Sin Información,"2,009",9,Mayor de 18 años,no,Civil,Herido,Masculino,8.639326,-72.735541,Accidente por MAP,"(8.639326, -72.735541)",Erradicador manual - PCI
ARAUCA,81,TAME,"81,794",Rural,Vereda Caño Limón,"2,009",2,Mayor de 18 años,Indigena,Civil,Herido,Masculino,6.461209,-71.730855,Accidente por MAP,"(6.461209, -71.730855)",Transito por via usual
CAQUETA,18,MONTAÑITA,"18,410",Rural,Las Granjas,"2,010",2,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,1.1202777777777777,-75.06166666666667,Accidente por MAP,"(1.1202777777777777, -75.06166666666667)",Fuerza pública
CORDOBA,23,TIERRALTA,"23,807",Rural,Casa Lizardo,"2,010",2,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,7.756388888888889,-76.30277777777778,Accidente por MAP,"(7.756388888888889, -76.30277777777778)",Fuerza pública
GUAVIARE,95,MIRAFLORES,"95,200",Rural,Río Itilla,"2,010",2,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,1.4830555555555556,-71.57916666666667,Accidente por MAP,"(1.4830555555555556, -71.57916666666667)",Fuerza pública
TOLIMA,73,RIOBLANCO,"73,616",Rural,El Quebradón,"2,010",2,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,3.5027777777777778,-75.76388888888889,Accidente por MAP,"(3.5027777777777778, -75.76388888888889)",Fuerza pública
META,50,MAPIRIPÁN,"50,325",Rural,Sin Información,"2,010",1,Menor de 18 años,Indigena,Civil,Herido,Femenino,2.892158,-72.133961,Accidente por MAP,"(2.892158, -72.133961)",Sin Información
META,50,MAPIRIPÁN,"50,325",Rural,Sin Información,"2,010",1,Menor de 18 años,no,Civil,Herido,Masculino,2.892158,-72.133961,Accidente por MAP,"(2.892158, -72.133961)",Sin Información
META,50,MAPIRIPÁN,"50,325",Rural,Sin Información,"2,010",1,Mayor de 18 años,Indigena,Civil,Herido,Femenino,2.892158,-72.133961,Accidente por MAP,"(2.892158, -72.133961)",Trabajos de casa
META,50,MAPIRIPÁN,"50,325",Rural,Sin Información,"2,010",1,Mayor de 18 años,Indigena,Civil,Herido,Masculino,2.892158,-72.133961,Accidente por MAP,"(2.892158, -72.133961)",Agricultura
CORDOBA,23,TIERRALTA,"23,807",Rural,Vereda Lorenzo,"2,010",2,Mayor de 18 años,no,Civil,Herido,Masculino,8.181547,-76.052223,Accidente por MAP,"(8.181547, -76.052223)",Sin Información
META,50,MAPIRIPÁN,"50,325",Rural,Sin Información,"2,010",1,Menor de 18 años,no,Civil,Herido,Masculino,2.892158,-72.133961,Accidente por MAP,"(2.892158, -72.133961)",Sin Información
CORDOBA,23,CIÉNAGA DE ORO,"23,189",Rural,Vereda Puente Seco,"2,009",3,Mayor de 18 años,Indigena,Civil,Herido,Masculino,8.867215,-75.618582,Accidente por MAP,"(8.867215, -75.618582)","Recogiendo comida, agua ó  madera"
PUTUMAYO,86,PUERTO ASÍS,"86,568",Rural,Vereda El Porvenir,"2,010",2,Mayor de 18 años,no,Civil,Herido,Masculino,0.502569,-76.49818,Accidente por MAP,"(0.502569, -76.49818)",Trabajos de casa
ARAUCA,81,TAME,"81,794",Rural,Vereda Galaxia,"2,010",1,Mayor de 18 años,no,Civil,Herido,Masculino,6.461209,-71.730855,Accidente por MAP,"(6.461209, -71.730855)",Trabajos de casa
GUAVIARE,95,CALAMAR,"95,015",Rural,Sin Información,"2,010",1,Mayor de 18 años,no,Civil,Herido,Masculino,1.958453,-72.654146,Accidente por MAP,"(1.958453, -72.654146)",Agricultura
ANTIOQUIA,5,SAN CARLOS,"5,649",Rural,Vereda Puerto Rico,"2,000",10,Mayor de 18 años,no,Civil,Herido,Masculino,6.187566,-74.993636,Accidente por MAP,"(6.187566, -74.993636)",Sin Información
GUAVIARE,95,MIRAFLORES,"95,200",Rural,Río Itilla,"2,010",2,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,1.4583333333333333,-72.5225,Accidente por MAP,"(1.4583333333333333, -72.5225)",Fuerza pública
GUAVIARE,95,MIRAFLORES,"95,200",Rural,Río Itilla,"2,010",2,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,1.4583333333333333,-72.5225,Accidente por MAP,"(1.4583333333333333, -72.5225)",Fuerza pública
GUAVIARE,95,MIRAFLORES,"95,200",Rural,Río Itilla,"2,010",2,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,1.4427777777777777,-72.52305555555556,Accidente por MAP,"(1.4427777777777777, -72.52305555555556)",Fuerza pública
GUAVIARE,95,MIRAFLORES,"95,200",Rural,Río Itilla,"2,010",2,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,1.4427777777777777,-72.52305555555556,Accidente por MAP,"(1.4427777777777777, -72.52305555555556)",Fuerza pública
NORTE DE SANTANDER,54,HACARÍ,"54,344",Rural,Vereda El Cobre,"2,010",2,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,8.35416617722222,-73.0772514972222,Accidente por MAP,"(8.35416617722222, -73.0772514972222)",Fuerza pública
NORTE DE SANTANDER,54,HACARÍ,"54,344",Rural,Vereda El Cobre,"2,010",2,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,8.35416617722222,-73.0772514972222,Accidente por MAP,"(8.35416617722222, -73.0772514972222)",Fuerza pública
HUILA,41,ALGECIRAS,"41,020",Rural,Vereda Termopilas,"2,010",2,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,2.591388888888889,-75.13888888888889,Accidente por MAP,"(2.591388888888889, -75.13888888888889)",Fuerza pública
ANTIOQUIA,5,APARTADÓ,"5,045",Rural,Corregimiento San Jose,"2,008",8,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,7.904444444444445,-76.46194444444444,Accidente por MAP,"(7.904444444444445, -76.46194444444444)",Fuerza pública
ANTIOQUIA,5,APARTADÓ,"5,045",Rural,Corregimiento San Jose,"2,008",8,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,7.904444444444445,-76.46194444444444,Accidente por MAP,"(7.904444444444445, -76.46194444444444)",Fuerza pública
NORTE DE SANTANDER,54,LA PLAYA,"54,398",Rural,Vereda Mesa Rica-Ejer Location,"2,010",1,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,8.231111111111112,-73.08694444444444,Accidente por MAP,"(8.231111111111112, -73.08694444444444)",Fuerza pública
NORTE DE SANTANDER,54,LA PLAYA,"54,398",Rural,Vereda Mesa Rica-Ejer Location,"2,003",5,Mayor de 18 años,no,Fuerza pública,Muerto,Masculino,8.231111111111112,-73.08694444444444,Accidente por MAP,"(8.231111111111112, -73.08694444444444)",Fuerza pública
PUTUMAYO,86,VALLE DEL GUAMUEZ,"86,865",Rural,Vereda El Tigre,"2,008",8,Mayor de 18 años,no,Civil,Herido,Masculino,0.424591,-76.905657,Accidente por MAP,"(0.424591, -76.905657)",Erradicador manual - PCI
PUTUMAYO,86,VALLE DEL GUAMUEZ,"86,865",Rural,Vereda El Tigre,"2,008",8,Mayor de 18 años,no,Civil,Herido,Masculino,0.424591,-76.905657,Accidente por MAP,"(0.424591, -76.905657)",Erradicacion de cultivos ilicitos
PUTUMAYO,86,VALLE DEL GUAMUEZ,"86,865",Rural,Vereda El Tigre,"2,008",8,Mayor de 18 años,no,Civil,Herido,Masculino,0.424591,-76.905657,Accidente por MAP,"(0.424591, -76.905657)",Erradicacion de cultivos ilicitos
PUTUMAYO,86,VALLE DEL GUAMUEZ,"86,865",Rural,Vereda El Tigre,"2,008",8,Mayor de 18 años,no,Civil,Herido,Masculino,0.424591,-76.905657,Accidente por MAP,"(0.424591, -76.905657)",Erradicador manual - PCI
PUTUMAYO,86,VALLE DEL GUAMUEZ,"86,865",Rural,Vereda El Tigre,"2,008",8,Mayor de 18 años,no,Civil,Herido,Masculino,0.424591,-76.905657,Accidente por MAP,"(0.424591, -76.905657)",Erradicador manual - PCI
CAQUETA,18,SOLANO,"18,756",Rural,Puerto Tejada,"2,010",3,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,0.9913888889,-75.0827777778,Accidente por MAP,"(0.9913888889, -75.0827777778)",Fuerza pública
NORTE DE SANTANDER,54,SAN CALIXTO,"54,670",Rural,Sin Información,"2,010",3,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,8.438055555555556,-73.23305555555555,Accidente por MAP,"(8.438055555555556, -73.23305555555555)",Fuerza pública
ANTIOQUIA,5,SAN ANDRÉS,"5,647",Rural,Vereda El Peñol,"2,010",3,Mayor de 18 años,no,Fuerza pública,Muerto,Masculino,6.980833333333333,-75.62638888888888,Accidente por MAP,"(6.980833333333333, -75.62638888888888)",Fuerza pública
CASANARE,85,AGUAZUL,"85,010",Rural,Cumaná,"2,010",3,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,5.2988888888888885,-72.60666666666667,Accidente por MAP,"(5.2988888888888885, -72.60666666666667)",Fuerza pública
HUILA,41,ISNOS,"41,359",Rural,Vereda Palmar,"2,010",3,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,1.929816,-76.216388,Accidente por MAP,"(1.929816, -76.216388)",Fuerza pública
ARAUCA,81,ARAUQUITA,"81,065",Rural,Vereda Caño Claro,"2,010",3,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,6.6274999999999995,-71.24527777777777,Accidente por MAP,"(6.6274999999999995, -71.24527777777777)",Fuerza pública
ARAUCA,81,ARAUQUITA,"81,065",Rural,Vereda Caño Claro,"2,010",3,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,6.6274999999999995,-71.24527777777777,Accidente por MAP,"(6.6274999999999995, -71.24527777777777)",Fuerza pública
CAQUETA,18,PUERTO RICO,"18,592",Rural,Vereda El Retorno,"2,010",3,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,2.1016666666666666,-75.035,Accidente por MAP,"(2.1016666666666666, -75.035)",Fuerza pública
CAQUETA,18,FLORENCIA,"18,001",Rural,Vereda Remolinos Orteguaza,"2,010",3,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,1.968888888888889,-75.48611111111111,Accidente por MAP,"(1.968888888888889, -75.48611111111111)",Fuerza pública
ANTIOQUIA,5,MEDELLÍN,"5,001",Rural,Vereda El Respaldo,"2,010",3,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,6.229209,-75.564887,Accidente por MAP,"(6.229209, -75.564887)",Fuerza pública
NARIÑO,52,SAMANIEGO,"52,678",Rural,La Conga,"2,010",3,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,1.5769444444444445,-77.81277777777778,Accidente por MAP,"(1.5769444444444445, -77.81277777777778)",Fuerza pública
ARAUCA,81,TAME,"81,794",Rural,La Siberia,"2,010",3,Mayor de 18 años,no,Fuerza pública,Muerto,Masculino,6.459722222222222,-71.3625,Accidente por MAP,"(6.459722222222222, -71.3625)",Fuerza pública
ARAUCA,81,TAME,"81,794",Rural,La Siberia,"2,010",3,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,6.459722222222222,-71.3625,Accidente por MAP,"(6.459722222222222, -71.3625)",Fuerza pública
ANTIOQUIA,5,GRANADA,"5,313",Rural,Vereda La Línda,"2,004",11,Mayor de 18 años,no,Fuerza pública,Herido,Masculino,6.111667,-75.095833,Accidente por MAP,"(6.111667, -75.095833)",Fuerza pública
HUILA,41,COLOMBIA,"41,206",Rural,Vereda El Playón,"2,009",3,Mayor de 18 años,no,Civil,Herido,Masculino,3.375361,-74.802161,Accidente por MAP,"(3.375361, -74.802161)",Transito por via usual
NORTE DE SANTANDER,54,EL TARRA,"54,250",Rural,Sin Información,"2,008",10,Mayor de 18 años,no,Civil,Herido,Masculino,8.58341,-73.0921120209,Accidente por MAP,"(8.58341, -73.0921120209)",Erradicador manual - PCI
META,50,PUERTO RICO,"50,590",Rural,Sin Información,"2,006",3,Mayor de 18 años,no,Civil,Herido,Masculino,2.939542,-73.207891,Accidente por MAP,"(2.939542, -73.207891)",Erradicador manual - PCI
